load1,load2,load3,load4,load5,load6,load7,month,date,hour,temp,is_weekend,label
802.4901261,738.1561823,947.4024123,534.4639439,689.7346285,812.0035457,967.4443344,1,9,20,0.148156738,0,802.2038347
651.5084217,523.2365863,711.9379332,531.26308,512.9652027,619.638957,819.002088,1,9,21,-1.008551025,0,645.6581176
420.7884964,437.7821202,539.0298446,355.8025612,424.0440505,425.4178304,514.7161079,1,9,22,-3.320135498,0,467.3936129
321.0797991,308.3284209,381.2590719,281.6887381,310.569543,345.7368066,300.5637866,1,9,23,-3.46628418,0,381.1202696
250.7803123,264.7265923,312.3717303,214.4404922,243.4033905,286.6301806,289.0646602,1,10,0,-4.394720459,0,289.2070821
172.8455378,228.4880895,217.9542962,185.7064046,263.9320505,227.6715242,242.298538,1,10,1,-5.00736084,0,228.6963665
144.3776475,202.6414795,174.3347717,178.580285,230.4322102,170.9078078,224.5963346,1,10,2,-5.315924072,0,189.4045558
194.7704391,235.9358229,214.10614,180.4186149,230.8923913,190.2204662,220.5575826,1,10,3,-6.740606689,0,240.0346724
294.4561724,386.5991901,260.2702449,245.6224227,482.8608303,433.9130227,429.007238,1,10,4,-6.556524658,0,439.8935075
637.2898586,780.6390435,481.1585719,357.8689336,784.6042963,762.0145643,727.4151546,1,10,5,-7.923468018,0,803.1292495
700.0774345,832.3097897,636.3565169,626.2524363,816.8019651,813.1150728,832.9765513,1,10,6,-7.959539795,0,740.9033981
796.3693619,930.3444528,865.0585658,726.030749,937.0406233,799.52484,819.8203991,1,10,7,-7.35413208,0,908.6861158
870.561426,879.212217,923.4200521,966.3448643,874.556732,938.259626,999.32595,1,10,8,-5.776983643,0,1003.22363
906.0279079,1074.120743,1018.757518,960.1744559,1084.182999,1071.553808,952.8452054,1,10,9,0.895227051,0,1008.384216
918.9663717,1073.304386,1184.888725,1009.017886,906.7512495,1175.399948,992.1328535,1,10,10,0.975518799,0,944.8114102
956.7460682,947.1211749,1231.997849,1002.493212,978.668914,1118.376371,1462.101875,1,10,11,1.949975586,0,992.4514078
1061.664981,1076.967931,1246.914555,1128.073756,1114.311999,1048.307981,1326.86503,1,10,12,5.217034912,0,1191.81274
1010.322822,1043.048429,1175.068512,1060.117126,987.5226523,1015.028462,1252.67356,1,10,13,5.350579834,0,1109.00653
963.9089133,1142.541318,1174.204068,1371.481656,1125.284441,1142.206292,1162.900694,1,10,14,5.439904785,0,1185.807383
1115.990374,1308.755296,1235.006076,1332.338919,1046.755762,1314.779111,1302.60252,1,10,15,3.656152344,0,1413.296109
1138.588015,1160.511982,1042.135365,1114.908543,1072.950702,1162.751624,1080.235304,1,10,16,2.203515625,0,1286.769442
814.2668646,1105.113029,947.2150935,925.295452,887.8661843,1129.261592,1013.584692,1,10,17,-3.700872803,0,1027.495153
793.74601,1144.874706,873.9946355,1003.145649,747.7647956,981.6590279,824.7423204,1,10,18,-3.437414551,0,924.8817913
850.0184737,1059.48269,695.0107314,875.7673711,712.3930817,968.0645697,732.5018592,1,10,19,-3.241644287,0,807.1912993
738.1561823,947.4024123,534.4639439,689.7346285,812.0035457,967.4443344,802.2038347,1,10,20,-3.323736572,0,712.8146238
523.2365863,711.9379332,531.26308,512.9652027,619.638957,819.002088,645.6581176,1,10,21,-4.244055176,0,766.8550375
437.7821202,539.0298446,355.8025612,424.0440505,425.4178304,514.7161079,467.3936129,1,10,22,-6.112615967,0,513.8644545
308.3284209,381.2590719,281.6887381,310.569543,345.7368066,300.5637866,381.1202696,1,10,23,-5.511724854,0,442.7750498
264.7265923,312.3717303,214.4404922,243.4033905,286.6301806,289.0646602,289.2070821,1,11,0,-6.773077393,0,272.8475906
228.4880895,217.9542962,185.7064046,263.9320505,227.6715242,242.298538,228.6963665,1,11,1,-6.888555908,0,237.4413392
202.6414795,174.3347717,178.580285,230.4322102,170.9078078,224.5963346,189.4045558,1,11,2,-6.673834229,0,186.7554723
235.9358229,214.10614,180.4186149,230.8923913,190.2204662,220.5575826,240.0346724,1,11,3,-6.608862305,0,196.1530745
386.5991901,260.2702449,245.6224227,482.8608303,433.9130227,429.007238,439.8935075,1,11,4,-6.897589111,0,373.686719
780.6390435,481.1585719,357.8689336,784.6042963,762.0145643,727.4151546,803.1292495,1,11,5,-7.573370361,0,566.1798745
832.3097897,636.3565169,626.2524363,816.8019651,813.1150728,832.9765513,740.9033981,1,11,6,-8.529760742,0,778.5012831
930.3444528,865.0585658,726.030749,937.0406233,799.52484,819.8203991,908.6861158,1,11,7,-7.838659668,0,751.2288984
879.212217,923.4200521,966.3448643,874.556732,938.259626,999.32595,1003.22363,1,11,8,-6.836248779,0,923.0240154
1074.120743,1018.757518,960.1744559,1084.182999,1071.553808,952.8452054,1008.384216,1,11,9,-1.196203613,0,867.0816722
1073.304386,1184.888725,1009.017886,906.7512495,1175.399948,992.1328535,944.8114102,1,11,10,-0.331854248,0,829.3589797
947.1211749,1231.997849,1002.493212,978.668914,1118.376371,1462.101875,992.4514078,1,11,11,1.329217529,0,879.6639927
1076.967931,1246.914555,1128.073756,1114.311999,1048.307981,1326.86503,1191.81274,1,11,12,3.735528564,0,912.5199133
1043.048429,1175.068512,1060.117126,987.5226523,1015.028462,1252.67356,1109.00653,1,11,13,4.066674805,0,1156.334309
1142.541318,1174.204068,1371.481656,1125.284441,1142.206292,1162.900694,1185.807383,1,11,14,4.15960083,0,1057.036202
1308.755296,1235.006076,1332.338919,1046.755762,1314.779111,1302.60252,1413.296109,1,11,15,2.632989502,0,1238.930122
1160.511982,1042.135365,1114.908543,1072.950702,1162.751624,1080.235304,1286.769442,1,11,16,0.967401123,0,1088.873422
1105.113029,947.2150935,925.295452,887.8661843,1129.261592,1013.584692,1027.495153,1,11,17,-0.244329834,0,909.2970953
1144.874706,873.9946355,1003.145649,747.7647956,981.6590279,824.7423204,924.8817913,1,11,18,-0.813665771,0,752.4650129
1059.48269,695.0107314,875.7673711,712.3930817,968.0645697,732.5018592,807.1912993,1,11,19,-1.116827393,0,985.6128084
947.4024123,534.4639439,689.7346285,812.0035457,967.4443344,802.2038347,712.8146238,1,11,20,-0.386877441,0,805.5897594
711.9379332,531.26308,512.9652027,619.638957,819.002088,645.6581176,766.8550375,1,11,21,0.773431396,0,765.0541932
539.0298446,355.8025612,424.0440505,425.4178304,514.7161079,467.3936129,513.8644545,1,11,22,-1.673498535,0,550.0132599
381.2590719,281.6887381,310.569543,345.7368066,300.5637866,381.1202696,442.7750498,1,11,23,-2.416967773,0,338.242713
312.3717303,214.4404922,243.4033905,286.6301806,289.0646602,289.2070821,272.8475906,1,12,0,-2.702978516,0,309.6488095
217.9542962,185.7064046,263.9320505,227.6715242,242.298538,228.6963665,237.4413392,1,12,1,-2.789587402,0,271.8611579
174.3347717,178.580285,230.4322102,170.9078078,224.5963346,189.4045558,186.7554723,1,12,2,-1.751104736,0,159.1084777
214.10614,180.4186149,230.8923913,190.2204662,220.5575826,240.0346724,196.1530745,1,12,3,-1.881933594,0,222.2723847
260.2702449,245.6224227,482.8608303,433.9130227,429.007238,439.8935075,373.686719,1,12,4,-1.964025879,0,277.7341986
481.1585719,357.8689336,784.6042963,762.0145643,727.4151546,803.1292495,566.1798745,1,12,5,0.062432861,0,467.6562441
636.3565169,626.2524363,816.8019651,813.1150728,832.9765513,740.9033981,778.5012831,1,12,6,0.258233643,0,634.3942911
865.0585658,726.030749,937.0406233,799.52484,819.8203991,908.6861158,751.2288984,1,12,7,0.32769165,0,914.2471991
923.4200521,966.3448643,874.556732,938.259626,999.32595,1003.22363,923.0240154,1,12,8,0.063348389,0,967.9126961
1018.757518,960.1744559,1084.182999,1071.553808,952.8452054,1008.384216,867.0816722,1,12,9,1.759576416,0,1167.856928
1184.888725,1009.017886,906.7512495,1175.399948,992.1328535,944.8114102,829.3589797,1,12,10,1.6440979,0,1032.207335
1231.997849,1002.493212,978.668914,1118.376371,1462.101875,992.4514078,879.6639927,1,12,11,0.994470215,0,1032.759494
1246.914555,1128.073756,1114.311999,1048.307981,1326.86503,1191.81274,912.5199133,1,12,12,1.848016357,0,1109.070936
1175.068512,1060.117126,987.5226523,1015.028462,1252.67356,1109.00653,1156.334309,1,12,13,1.450128174,0,1142.633636
1174.204068,1371.481656,1125.284441,1142.206292,1162.900694,1185.807383,1057.036202,1,12,14,1.41942749,0,1080.020413
1235.006076,1332.338919,1046.755762,1314.779111,1302.60252,1413.296109,1238.930122,1,12,15,0.559594727,0,1153.694104
1042.135365,1114.908543,1072.950702,1162.751624,1080.235304,1286.769442,1088.873422,1,12,16,0.856439209,0,966.339591
947.2150935,925.295452,887.8661843,1129.261592,1013.584692,1027.495153,909.2970953,1,12,17,0.904260254,0,821.1802224
873.9946355,1003.145649,747.7647956,981.6590279,824.7423204,924.8817913,752.4650129,1,12,18,1.212823486,0,787.6108055
695.0107314,875.7673711,712.3930817,968.0645697,732.5018592,807.1912993,985.6128084,1,12,19,1.140649414,0,646.8992266
534.4639439,689.7346285,812.0035457,967.4443344,802.2038347,712.8146238,805.5897594,1,12,20,1.502435303,0,671.3018846
531.26308,512.9652027,619.638957,819.002088,645.6581176,766.8550375,765.0541932,1,12,21,1.752374268,0,522.2121108
355.8025612,424.0440505,425.4178304,514.7161079,467.3936129,513.8644545,550.0132599,1,12,22,1.512384033,0,397.7499723
281.6887381,310.569543,345.7368066,300.5637866,381.1202696,442.7750498,338.242713,1,12,23,1.637780762,0,248.8800045
214.4404922,243.4033905,286.6301806,289.0646602,289.2070821,272.8475906,309.6488095,1,13,0,1.940942383,0,192.2558319
185.7064046,263.9320505,227.6715242,242.298538,228.6963665,237.4413392,271.8611579,1,13,1,1.432977295,0,164.7880851
178.580285,230.4322102,170.9078078,224.5963346,189.4045558,186.7554723,159.1084777,1,13,2,0.943048096,0,145.1432191
180.4186149,230.8923913,190.2204662,220.5575826,240.0346724,196.1530745,222.2723847,1,13,3,-0.164038086,0,131.9258328
245.6224227,482.8608303,433.9130227,429.007238,439.8935075,373.686719,277.7341986,1,13,4,-0.517706299,0,188.1820443
357.8689336,784.6042963,762.0145643,727.4151546,803.1292495,566.1798745,467.6562441,1,13,5,-0.275915527,0,380.1091744
626.2524363,816.8019651,813.1150728,832.9765513,740.9033981,778.5012831,634.3942911,1,13,6,-0.457250977,0,582.3175354
726.030749,937.0406233,799.52484,819.8203991,908.6861158,751.2288984,914.2471991,1,13,7,-0.448248291,0,631.5447876
966.3448643,874.556732,938.259626,999.32595,1003.22363,923.0240154,967.9126961,1,13,8,0.276269531,0,915.2774404
960.1744559,1084.182999,1071.553808,952.8452054,1008.384216,867.0816722,1167.856928,1,13,9,2.887414551,0,1086.628195
1009.017886,906.7512495,1175.399948,992.1328535,944.8114102,829.3589797,1032.207335,1,13,10,3.556878662,0,1093.317548
1002.493212,978.668914,1118.376371,1462.101875,992.4514078,879.6639927,1032.759494,1,13,11,3.832971191,0,1095.569165
1128.073756,1114.311999,1048.307981,1326.86503,1191.81274,912.5199133,1109.070936,1,13,12,3.692224121,0,1062.392023
1060.117126,987.5226523,1015.028462,1252.67356,1109.00653,1156.334309,1142.633636,1,13,13,4.645013428,0,916.9375287
1371.481656,1125.284441,1142.206292,1162.900694,1185.807383,1057.036202,1080.020413,1,13,14,5.079888916,0,1146.355245
1332.338919,1046.755762,1314.779111,1302.60252,1413.296109,1238.930122,1153.694104,1,13,15,3.631768799,0,1234.044747
1114.908543,1072.950702,1162.751624,1080.235304,1286.769442,1088.873422,966.339591,1,13,16,3.66427002,0,1136.819727
925.295452,887.8661843,1129.261592,1013.584692,1027.495153,909.2970953,821.1802224,1,13,17,2.721398926,0,981.8640398
1003.145649,747.7647956,981.6590279,824.7423204,924.8817913,752.4650129,787.6108055,1,13,18,2.399285889,0,940.5542711
875.7673711,712.3930817,968.0645697,732.5018592,807.1912993,985.6128084,646.8992266,1,13,19,1.907556152,0,917.0119326
689.7346285,812.0035457,967.4443344,802.2038347,712.8146238,805.5897594,671.3018846,1,13,20,1.252526855,0,642.6988919
512.9652027,619.638957,819.002088,645.6581176,766.8550375,765.0541932,522.2121108,1,13,21,0.259118652,0,433.9649455
424.0440505,425.4178304,514.7161079,467.3936129,513.8644545,550.0132599,397.7499723,1,13,22,-1.708685303,0,331.3550147
